,,,,中学受験準備コース,,,冬期講習,,中受コース　冬講学習ポイント(point_),,,,,新小○～4の皆さんへ(jr4_),,,,,新小5の皆さんへ(jr5_),,,,,新小6の皆さんへ(jr6_),,,,,中高一貫校を目指す新小〇・5の皆さんへ(integ_),,,,,,特典1(privilege1_),,,,特典2(privilege2_),,,,特典3(privilege3_),,,,特典4(privilege4_),,,コース1,,,,,,,,,,,,,,コース2,,,,,,,,,,,,,,コース3,,,,,,,,,,,,,,備考
ID,web_id,Dir,Name,小学最小,小学最大,対象学年,開催日時,終了日時,タイトル,本文,肩書,先生の名前,画像alt,体験,講習,小学生の皆さんへ,小学生の皆さんへタイトル,小学生の皆さんへ本文,体験,講習,小学生の皆さんへ,小学生の皆さんへタイトル,小学生の皆さんへ本文,体験,講習,小学生の皆さんへ,小学生の皆さんへタイトル,小学生の皆さんへ本文,体験,講習,対象学年,中学生の皆さんへタイトル,中学生の皆さんへ本文,Flag,対象,タイトル,内容,Flag,対象,タイトル,内容,Flag,対象,タイトル,内容,Flag,対象,タイトル,内容,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefecture_id,id,prefecture_dir,prefecture_name,elem_min,elem_max,taisho,season_open,season_close,point_title,point_body,point_position,point_name,point_alt,jr4_trial,jr4_curriculum,jr4_target,jr4_title,jr4_body,jr5_trial,jr5_curriculum,jr5_target,jr5_title,jr5_body,jr6_trial,jr6_curriculum,jr6_target,jr6_title,jr6_body,integ_trial,integ_curriculum,integ_target,integ_title,integ_body,privilege1_flag,privilege1_target,privilege1_title,privilege1_detail,privilege2_flag,privilege2_target,privilege2_title,privilege2_detail,privilege3_flag,privilege3_target,privilege3_title,privilege3_detail,privilege4_flag,privilege4_target,privilege4_title,privilege4_detail,course1_title,course1_target,course1_school1,course1_school2,course1_school3,course1_school4,course1_school5,course1_school6,course1_school7,course1_school8,course1_school9,course1_school10,course1_school11,course1_note,course2_title,course2_target,course2_school1,course2_school2,course2_school3,course2_school4,course2_school5,course2_school6,course2_school7,course2_school8,course2_school9,course2_school10,course2_school11,course2_note,course3_title,course3_target,course3_school1,course3_school2,course3_school3,course3_school4,course3_school5,course3_school6,course3_school7,course3_school8,course3_school9,course3_school10,course3_school11,course3_note,course_total_note
03,1,iwate,岩手県,小3,小6,小学3～6年生,7.23,11.12,中学受験のための学習時間をしっかり確保！ 自分にピッタリの学習スタイルを定着させよう。,長い夏休みがいよいよスタート！「中学受験」に向けてじっくり勉強できるチャンスです。 小６生は志望校合格に向けて苦手分野をしっかり克服する夏にしましょう。その他の学年の方は、能開オリジナルの中学受験対応カリキュラムにしっかりついていけるよう取り組みます。そのためには、夏休みの間に学習リズムをつくり、分かりやすいノートのまとめ方や力がつく問題演習など、自分に合った学習スタイルを定着させることがカギを握ります。 この夏、一歩先のレベルの学習に取り組み、成績アップにつなげましょう！,盛岡校　責任者,吉田 航,岩手県の中学受験を全力で応援する能開センターの冬期講習 盛岡校　責任者吉田 航,1,1,小3・4の皆さんへ,この夏、知的好奇心でワクワクしよう！,この夏は、中学受験の学習にチャレンジしてみませんか？ 文章題や図形などちょっと難しいけど面白い問題に触れてみよう！初めて能開センターの授業を受ける場合は、体験講習をお勧めします。成績アップする授業を体感して楽しい学びを始めましょう。,0,1,小5の皆さんへ,夏本番、最重要テーマ学習を！ ,5年生の夏は、重要テーマをたくさん学習する大切な期間です。入試の重要単元がこの夏目白押しです。受験生になる前に単元理解をしっかり深めることと、学習量と知識量を増やしていくことは5年の夏の大きな目標となります。一緒に夏の本格的学習を乗り越えよう！ ,0,1,小6の皆さんへ,受験生の夏、天王山に挑め！,志望校へ挑むための夏、あと5ヵ月にせまる受験を意識して第一志望校合格への学力を身に着けよう！この夏の頑張りが、秋に行われる志望校模試での得点に大きく影響します。得意科目を磨き、苦手単元を克服して中学受験生の夏を全力で挑みましょう！,0,0,公立中高一貫校を目指す小6の皆さんへ,普段の教科学習を応用し、思考力・表現力を磨く夏。 県立中受検に向け、みっちり適性検査対策を！ ,年々注目を集めている岩手県立中学校の入試。県立中受検の勉強は、算数・国語という教科学習の枠を越えた思考力・表現力が問われます。この夏は、実戦力を伸ばすために、適性検査の記述対策を見据え、解答の作り方に注力します。 ,1,<strong>7月10日(日)までに</strong>夏期講習をお申し込みされた方は、,早期申込割引,夏期講習を<strong>特別優待価格</strong>で受講可能！,1,<strong>7月22日（金）までに</strong>入会手続きを終了した方は、,同時申込割引,夏期講習を<strong>特別優待価格+入会金無料！</strong>,1,<strong>能開の講習会に初めて参加された方</strong>（※以前、体験授業・体験講習に参加したことがある方も対象となります）は、,はじめて参加割引,夏期講習を<strong>特別優待価格</strong>で受講可能！,1,能開の夏の体験講習または夏の講習会に参加後<strong>7月・8月・9月ゼミ</strong>に入会手続きをされた方は、,夏期入会割引,<strong>入会金無料！</strong>,岩大附中・上位<br>合格コース,小3～6,morioka,,,,,,,,,,,,岩大附中受験コース,小5・小6,morioka,,,,,,,,,,,,,,,,,,,,,,,,,,
04,2,miyagi,宮城県,小2,小6,小学2～6年生,7.21,11.18,中学受験のための学習時間をしっかり確保！ 自分にピッタリの学習スタイルを定着させよう。,長い夏休みがいよいよスタート！「中学受験」に向けてじっくり勉強できるチャンスです。 小６生は志望校合格に向けて苦手分野をしっかり克服する夏にしましょう。その他の学年の方は、能開オリジナルの中学受験対応カリキュラムにしっかりついていけるよう取り組みます。そのためには、夏休みの間に学習リズムをつくり、分かりやすいノートのまとめ方や力がつく問題演習など、自分に合った学習スタイルを定着させることがカギを握ります。 この夏、一歩先のレベルの学習に取り組み、成績アップにつなげましょう！,能開センター仙台校　理系担当,前田圭太,宮城県の中学受験を全力で応援する能開センターの冬期講習 能開センター仙台校　理系担当前田圭太,1,1,小2～4の皆さんへ,この夏、知的好奇心でワクワクしよう！,この夏は、中学受験の学習にチャレンジしてみませんか？ 文章題や図形などちょっと難しいけど面白い問題に触れてみよう！初めて能開センターの授業を受ける場合は、体験講習をお勧めします。成績アップする授業を体感して楽しい学びを始めましょう。,1,1,小5の皆さんへ,夏本番、最重要テーマ学習を！ ,5年生の夏は、重要テーマをたくさん学習する大切な期間です。入試の重要単元がこの夏目白押しです。受験生になる前に単元理解をしっかり深めることと、学習量と知識量を増やしていくことは5年の夏の大きな目標となります。一緒に夏の本格的学習を乗り越えよう！ ,0,1,小6の皆さんへ,受験生の夏、天王山に挑め！,志望校へ挑むための夏、あと5ヵ月にせまる受験を意識して第一志望校合格への学力を身に着けよう！この夏の頑張りが、秋に行われる志望校模試での得点に大きく影響します。得意科目を磨き、苦手単元を克服して中学受験生の夏を全力で挑みましょう！,1,1,公立中高一貫校を目指す小6の皆さんへ,普段の教科学習を応用し、思考力・表現力を磨く夏。 公立中高一貫校受検に向け、みっちり適性検査対策を！,二華中・青陵中の対策には、算数・国語という教科学習の枠を越えた思考力・表現力が問われます。<br>この夏は、実戦力を伸ばすために、適性検査の記述対策を見据え、解答の作り方に注力します。,1,6月30日(木)までに体験講習をWEBでお申し込みされた方は、,早期申込割引①,体験講習の教材費も無料でご招待！,1,7月10日(日)までに夏期講習をお申し込みされた方は、,早期申込割引②,夏期講習を特別優待価格で受講可能！,1,7月19日(火)までに入会お申込みの方は、,同時申込割引,夏期講習が特別優待価格＋入会金無料！,1,夏行事より7月・8月・9月ゼミにご入会の方は、,1ヶ月授業料無料,1ヶ月授業料無料＋入会金無料！,附属・中高一貫<br>上位合格コース,小3～6,sendai,,,,,,,,,,,,附属・中高一貫受験,小4～6,sendai,izumichuou,,,,,,,,,,,,,,,,,,,,,,,,,
05,3,akita,秋田県,小3,小6,小学3～6年生,7.21,11.18,中学受験のための学習時間をしっかり確保！ 自分にピッタリの学習スタイルを定着させよう。,長い夏休みがいよいよスタート！「中学受験」に向けてじっくり勉強できるチャンスです。 小６生は志望校合格に向けて苦手分野をしっかり克服する夏にしましょう。その他の学年の方は、能開オリジナルの中学受験対応カリキュラムにしっかりついていけるよう取り組みます。そのためには、夏休みの間に学習リズムをつくり、分かりやすいノートのまとめ方や力がつく問題演習など、自分に合った学習スタイルを定着させることがカギを握ります。 この夏、一歩先のレベルの学習に取り組み、成績アップにつなげましょう！,能開センター秋田校　小学部責任者,佐々木 健,秋田県の中学受験を全力で応援する能開センターの冬期講習 能開センター秋田校　小学部責任者佐々木 健,1,1,小3・4の皆さんへ,この夏、知的好奇心でワクワクしよう！,この夏は、中学受験の学習にチャレンジしてみませんか？ 文章題や図形などちょっと難しいけど面白い問題に触れてみよう！初めて能開センターの授業を受ける場合は、体験講習をお勧めします。成績アップする授業を体感して楽しい学びを始めましょう。,1,1,小5の皆さんへ,夏本番、最重要テーマ学習を！ ,5年生の夏は、重要テーマをたくさん学習する大切な期間です。入試の重要単元がこの夏目白押しです。受験生になる前に単元理解をしっかり深めることと、学習量と知識量を増やしていくことは5年の夏の大きな目標となります。一緒に夏の本格的学習を乗り越えよう！ ,0,1,小6の皆さんへ,受験生の夏、天王山に挑め！,志望校へ挑むための夏、あと5ヵ月にせまる受験を意識して第一志望校合格への学力を身に着けよう！この夏の頑張りが、秋に行われる志望校模試での得点に大きく影響します。得意科目を磨き、苦手単元を克服して中学受験生の夏を全力で挑みましょう！,0,0,公立中高一貫校を目指す小6の皆さんへ,普段の教科学習を応用し、思考力・表現力を磨く夏。 県立中受検に向け、みっちり適性検査対策を！ ,年々注目を集めている秋田県立中学校の入試。県立中受検の勉強は、算数・国語という教科学習の枠を越えた思考力・表現力が問われます。この夏は、実戦力を伸ばすために、適性検査の記述対策を見据え、解答の作り方に注力します。 ,1,夏の体験講習または、本科講習参加の方で、8月21日までに入会手続きをされた方は、,早期入会割引,<strong>入会金無料！<strong>,1,体験講習受講と本科講習ともに受講される場合は、,併用受講割引,夏期講習本科講習を<strong>会員生費用<strong>で受講可能！,1,5～7月の各種イベントに参加された方は、,イベント参加割引,夏期講習本科講習を<strong>会員生費用<strong>で受講可能！,1,本科講習を7/3(日)までにお申し込みの方は、,早期申込割引,夏期講習本科講習を<strong>会員生費用<strong>で受講可能！,難関中受験コース,小4～6,akita,,,,,,,,,,,,有名中受験コース,小4～6,akita,,,,,,,,,,,,秋大附属中・南高中等部受験対策コース,小5～6,akita,,,,,,,,,,,,
06,19,yamagata,山形県,小4,小6,小学4～6年生,7.16,11.17,中学受験のための学習時間をしっかり確保！ 自分にピッタリの学習スタイルを定着させよう。,長い夏休みがいよいよスタート！「中学受験」に向けてじっくり勉強できるチャンスです。 小６生は志望校合格に向けて苦手分野をしっかり克服する夏にしましょう。その他の学年の方は、能開オリジナルの中学受験対応カリキュラムにしっかりついていけるよう取り組みます。そのためには、夏休みの間に学習リズムをつくり、分かりやすいノートのまとめ方や力がつく問題演習など、自分に合った学習スタイルを定着させることがカギを握ります。 この夏、一歩先のレベルの学習に取り組み、成績アップにつなげましょう！,能開センター山形十日町校　責任者,曽根　中哉,山形県の中学受験を全力で応援する能開センターの冬期講習 能開センター山形十日町校　責任者曽根　中哉,1,1,小4の皆さんへ,この夏、知的好奇心でワクワクしよう！,この夏は、中学受験の学習にチャレンジしてみませんか？ 文章題や図形などちょっと難しいけど面白い問題に触れてみよう！初めて能開センターの授業を受ける場合は、体験講習をお勧めします。成績アップする授業を体感して楽しい学びを始めましょう。,1,1,小5の皆さんへ,夏本番、最重要テーマ学習を！ ,5年生の夏は、重要テーマをたくさん学習する大切な期間です。入試の重要単元がこの夏目白押しです。受験生になる前に単元理解をしっかり深めることと、学習量と知識量を増やしていくことは5年の夏の大きな目標となります。一緒に夏の本格的学習を乗り越えよう！ ,1,1,小6の皆さんへ,受験生の夏、天王山に挑め！,志望校へ挑むための夏、あと5ヵ月にせまる受験を意識して第一志望校合格への学力を身に着けよう！この夏の頑張りが、秋に行われる志望校模試での得点に大きく影響します。得意科目を磨き、苦手単元を克服して中学受験生の夏を全力で挑みましょう！,0,0,公立中高一貫校を目指す小5・6の皆さんへ,普段の教科学習を応用し、思考力・表現力を磨く夏。 県立中受検に向け、みっちり適性検査対策を！ ,年々注目を集めている山形県立中学校の入試。県立中受検の勉強は、算数・国語という教科学習の枠を越えた思考力・表現力が問われます。この夏は、実戦力を伸ばすために、適性検査の記述対策を見据え、解答の作り方に注力します。 ,1,7/9(土)までに夏期講習申込書が届いた方は、,早期申込割引,夏期講習を優待価格で受講可能,1,8/10(水)までに入会手続きをされた方は、,早期入会割引,"入会金22,000円が無料",1,夏講申込書に「入会予定」に〇していただいた方は、,同時申込割引,"夏講優待費用＋入会金22,000円が無料",1,夏の体験講習と夏期講習を両方お申込の方は、,セット受講割引,夏期講習を優待価格で受講可能,中学受験コース,小4～6,tokamachi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07,4,fukushima,福島県,小3,小6,小学3～6年生,7.16,11.19,中学受験のための学習時間をしっかり確保！ 自分にピッタリの学習スタイルを定着させよう。,長い夏休みがいよいよスタート！「中学受験」に向けてじっくり勉強できるチャンスです。 小６生は志望校合格に向けて苦手分野をしっかり克服する夏にしましょう。その他の学年の方は、能開オリジナルの中学受験対応カリキュラムにしっかりついていけるよう取り組みます。そのためには、夏休みの間に学習リズムをつくり、分かりやすいノートのまとめ方や力がつく問題演習など、自分に合った学習スタイルを定着させることがカギを握ります。 この夏、一歩先のレベルの学習に取り組み、成績アップにつなげましょう！,能開センター福島校　責任者,柳沼 直樹,福島県の中学受験を全力で応援する能開センターの冬期講習 能開センター福島校　責任者柳沼 直樹,1,1,小3・4の皆さんへ,この夏、知的好奇心でワクワクしよう！,この夏は、中学受験の学習にチャレンジしてみませんか？ 文章題や図形などちょっと難しいけど面白い問題に触れてみよう！初めて能開センターの授業を受ける場合は、体験講習をお勧めします。成績アップする授業を体感して楽しい学びを始めましょう。,0,1,小5の皆さんへ,夏本番、最重要テーマ学習を！ ,5年生の夏は、重要テーマをたくさん学習する大切な期間です。入試の重要単元がこの夏目白押しです。受験生になる前に単元理解をしっかり深めることと、学習量と知識量を増やしていくことは5年の夏の大きな目標となります。一緒に夏の本格的学習を乗り越えよう！ ,0,1,小6の皆さんへ,受験生の夏、天王山に挑め！,志望校へ挑むための夏、あと5ヵ月にせまる受験を意識して第一志望校合格への学力を身に着けよう！この夏の頑張りが、秋に行われる志望校模試での得点に大きく影響します。得意科目を磨き、苦手単元を克服して中学受験生の夏を全力で挑みましょう！,0,0,公立中高一貫校を目指す小6の皆さんへ,普段の教科学習を応用し、思考力・表現力を磨く夏。 県立中受検に向け、みっちり適性検査対策を！ ,年々注目を集めている福島県立中学校の入試。県立中受検の勉強は、算数・国語という教科学習の枠を越えた思考力・表現力が問われます。この夏は、実戦力を伸ばすために、適性検査の記述対策を見据え、解答の作り方に注力します。 ,1,6月30日(木)までに夏期講習をお申込みされた方はは、,早期申込割引,夏期講習を<strong>特別優待価格</strong>で受講可能！,1,7月15日(金)までに、夏期講習と入会手続きを同時にされた方は、,同時入会割引,入会金無料！夏期講習を特別優待価格で受講可能！,1,8月7日(日)までに、入会手続きをされた方は、,早期入会割引,<strong>入会金無料！</strong>,1,能開センターの会員からの友人紹介の方は、,友人紹介特典,<strong>1000円分の図書カード</strong>を進呈！,附属中･有名中受験コース,小3～6,fukushima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09,5,tochigi,栃木県,小2,小6,小学2～6年生,7.21,11.18,中学受験のための学習時間をしっかり確保！ 自分にピッタリの学習スタイルを定着させよう。,長い夏休みがいよいよスタート！「中学受験」に向けてじっくり勉強できるチャンスです。 小６生は志望校合格に向けて苦手分野をしっかり克服する夏にしましょう。その他の学年の方は、能開オリジナルの中学受験対応カリキュラムにしっかりついていけるよう取り組みます。そのためには、夏休みの間に学習リズムをつくり、分かりやすいノートのまとめ方や力がつく問題演習など、自分に合った学習スタイルを定着させることがカギを握ります。 この夏、一歩先のレベルの学習に取り組み、成績アップにつなげましょう！,能開センター中学受験館　責任者,小内 康弘,栃木県の中学受験を全力で応援する能開センターの冬期講習 能開センター中学受験館　責任者小内 康弘,1,1,小2～4の皆さんへ,この夏、知的好奇心でワクワクしよう！,この夏は、中学受験の学習にチャレンジしてみませんか？ 文章題や図形などちょっと難しいけど面白い問題に触れてみよう！初めて能開センターの授業を受ける場合は、体験講習をお勧めします。成績アップする授業を体感して楽しい学びを始めましょう。,1,1,小5の皆さんへ,夏本番、最重要テーマ学習を！ ,5年生の夏は、重要テーマをたくさん学習する大切な期間です。入試の重要単元がこの夏目白押しです。受験生になる前に単元理解をしっかり深めることと、学習量と知識量を増やしていくことは5年の夏の大きな目標となります。一緒に夏の本格的学習を乗り越えよう！ ,0,1,小6の皆さんへ,受験生の夏、天王山に挑め！,志望校へ挑むための夏、あと5ヵ月にせまる受験を意識して第一志望校合格への学力を身に着けよう！この夏の頑張りが、秋に行われる志望校模試での得点に大きく影響します。得意科目を磨き、苦手単元を克服して中学受験生の夏を全力で挑みましょう！,1,1,公立中高一貫校を目指す小6の皆さんへ,普段の教科学習を応用し、思考力・表現力を磨く夏。 県立中受検に向け、みっちり適性検査対策を！ ,年々注目を集めている栃木県立中学校の入試。県立中受検の勉強は、算数・国語という教科学習の枠を越えた思考力・表現力が問われます。この夏は、実戦力を伸ばすために、適性検査の記述対策を見据え、解答の作り方に注力します。 ,1,6・7月に能開センター主催の「公開学力テスト」「宇大附中模試」「県立中模試」を受験して、夏期講習をお申込みされた方は、,行事参加割引,夏期講習を<strong>割引価格</strong>で受講可能！,1,<strong>夏期講習の受講開始までに</strong>入会手続き後、夏期講習にお申込みされた方は、,同時申込割引,夏期講習を<strong>優待価格で受講+入会金無料！</strong>,1,夏の体験講習または、夏期講習参加の方で、<strong>所定の期日</strong>までに入会手続きをされた方は、,早期入会割引,<strong>入会金無料！</strong>,1,能開センターの会員からの友人紹介の方、および、ご兄弟姉妹で講習会にご参加された方は、,友人紹介特典,<strong>1000円分の図書カード(中学生にはクオカード)を進呈！</strong>,国立・県立・<br>私立中受験クラス,小2～6,utsunomiya_chuju,utsunomiyahigashi,,,,,,,,,,,県立中学受検コース,小6,suzumenomiya,yuinomori,oyamaekihigashi,otawara,,,,,,,,,,,,,,,,,,,,,,,※宇都宮校(中学受験)と宇都宮駅東校は、体験講習・本科講習ともカリキュラム・学習内容が異なります。
15,7,niigata,新潟県,小2,小6,小学2～6年生,7.16,11.17,中学受験のための学習時間をしっかり確保！ 自分にピッタリの学習スタイルを定着させよう。,長い夏休みがいよいよスタート！「中学受験」に向けてじっくり勉強できるチャンスです。 小６生は志望校合格に向けて苦手分野をしっかり克服する夏にしましょう。その他の学年の方は、能開オリジナルの中学受験対応カリキュラムにしっかりついていけるよう取り組みます。そのためには、夏休みの間に学習リズムをつくり、分かりやすいノートのまとめ方や力がつく問題演習など、自分に合った学習スタイルを定着させることがカギを握ります。 この夏、一歩先のレベルの学習に取り組み、成績アップにつなげましょう！,能開センター新潟本部　中学受験部門責任者,加藤 久美子,新潟県の中学受験を全力で応援する能開センターの冬期講習 能開センター新潟本部　中学受験部門責任者加藤 久美子,1,1,小2～4の皆さんへ,この夏、知的好奇心でワクワクしよう！,この夏は、中学受験の学習にチャレンジしてみませんか？ 文章題や図形などちょっと難しいけど面白い問題に触れてみよう！初めて能開センターの授業を受ける場合は、体験講習をお勧めします。成績アップする授業を体感して楽しい学びを始めましょう。,1,1,小5の皆さんへ,夏本番、最重要テーマ学習を！ ,5年生の夏は、重要テーマをたくさん学習する大切な期間です。入試の重要単元がこの夏目白押しです。受験生になる前に単元理解をしっかり深めることと、学習量と知識量を増やしていくことは5年の夏の大きな目標となります。一緒に夏の本格的学習を乗り越えよう！ ,0,1,小6の皆さんへ,受験生の夏、天王山に挑め！,志望校へ挑むための夏、あと5ヵ月にせまる受験を意識して第一志望校合格への学力を身に着けよう！この夏の頑張りが、秋に行われる志望校模試での得点に大きく影響します。得意科目を磨き、苦手単元を克服して中学受験生の夏を全力で挑みましょう！,0,0,公立中高一貫校を目指す小6の皆さんへ,普段の教科学習を応用し、思考力・表現力を磨く夏。 県立中受検に向け、みっちり適性検査対策を！ ,年々注目を集めている新潟県立中学校の入試。県立中受検の勉強は、算数・国語という教科学習の枠を越えた思考力・表現力が問われます。この夏は、実戦力を伸ばすために、適性検査の記述対策を見据え、解答の作り方に注力します。 ,1,<strong>7月３日(日)までに</strong>夏期講習をお申し込みされた方は、,早期申込割引,夏期講習を<strong>特別優待価格</strong>で受講可能！,1,能開センターの有料講習を初めて受講する方は、,初割,"受講料25％引き<br>※100円未満は切り上げ",1,"８月度または９月度から、新潟県の能開センター各校へご入会される方は、","新潟本部開設40周年記念",<strong>入会金無料</strong>,1,６月実施の公開学力テストまたは中学受験公開模試を受験された方は、,学テ割引,夏期講習を<strong>特別優待価格</strong>で受講可能！,能開アカデミーコース,小3,niigata,aoyama,,,,,,,,,,"<span  style=""font-size:120%; color:red;"">※8/13～8/15までの間、申込受付を停止いたします。</span>",算国総合コース<br>(附属中受験対応),小4～6,niigata,aoyama,,,,,,,,,,"<span  style=""font-size:120%; color:red;"">※8/13～8/15までの間、申込受付を停止いたします。</span>",,,,,,,,,,,,,,,
25,8,shiga,滋賀県,小5,小6,小学5・6年生,7.21,11.19,この夏、「成長の階段」を経験すること、それが「自信」につながります。,"成長というものは、「徐々に伸びていくもの」ではなく、「突然にやってくるもの」です。だから一度でもこの経験をした人は、次なる目標に対してもその経験を信じて努力を続けることができます。<br>能開の夏期講習では、皆さんにこの階段状に成長する“頑張る体験”をしてもらいたいと考えています。大きく伸びる夏にご期待ください。",能開センター滋賀本部 責任者,村蒔　亮,滋賀県の中学受験を全力で応援する能開センターの冬期講習 能開センター滋賀本部 責任者村蒔　亮,0,0,小5～4の皆さんへ,この夏、知的好奇心でワクワクしよう！,この夏は、中学受験の学習にチャレンジしてみませんか？ 文章題や図形などちょっと難しいけど面白い問題に触れてみよう！初めて能開センターの授業を受ける場合は、体験講習をお勧めします。成績アップする授業を体感して楽しい学びを始めましょう。,0,0,小5の皆さんへ,夏本番、最重要テーマ学習を！ ,5年生の夏は、重要テーマをたくさん学習する大切な期間です。入試の重要単元がこの夏目白押しです。受験生になる前に単元理解をしっかり深めることと、学習量と知識量を増やしていくことは5年の夏の大きな目標となります。一緒に夏の本格的学習を乗り越えよう！ ,0,0,小6の皆さんへ,受験生の夏、天王山に挑め！,志望校へ挑むための夏、あと5ヵ月にせまる受験を意識して第一志望校合格への学力を身に着けよう！この夏の頑張りが、秋に行われる志望校模試での得点に大きく影響します。得意科目を磨き、苦手単元を克服して中学受験生の夏を全力で挑みましょう！,0,1,附属中・県立中を目指す小5・6の皆さんへ,思考力・表現力を磨く夏。 附属中・県立中受験に向けて総合的な対策をはかります。,附属中・県立中受験では、算数・国語という教科学習の枠を越えた思考力・表現力が問われます。<br>この夏は、実戦力を伸ばすために、記述対策を見据え、解答の作り方にも注力します。,1,滋賀で開校「40周年記念特典①」,滋賀で開校「40周年記念特別価格」で受講できます。,,1,滋賀で開校「40周年記念特典②」,受講生全員に、「40周年記念版 ごうかくクン グッズ」をもれなくプレゼント！,,1,能開センターの会員からの<strong>友人紹介の方</strong>、および、<strong>ご兄弟姉妹で</strong>講習会にご参加された方は、,「優待割引価格」で受講できます。,,1,8/27(土)までに、能開ゼミへの入会手続きを完了された方は、,"入会金が無料！（小学部：11,000円／中学部：22,000円）","<br><span  style=""font-size:80%;"">※能開センター滋賀本部「高校受験専門館」限定の特典となります。</span>",附属中・県立中学受験クラス,小5・6,kusatsu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,※全ての講座には、受講料以外に教材費が別途必要となります。
